,Star_name,Distance,Mass,Radius,Gravity,gravity,habitable_gravity
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028,3.383456180088951e-10,False
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992,7.498728932342544e-11,True
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489583,336.7014134799189,8.188300922931432e-11,True
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854,3.752560490644109e-10,False
242,2MASS J22282889-4310262,35.0,0.040092696,0.09659722,1178.4549471797168,2.8659053230260015e-10,False
243,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,1673.3068242582378,4.069344310679098e-10,False
244,2MASSW J2244316+204343,56.0,0.011455056,0.13256427,178.78094402431125,4.347805237366873e-11,True
245,2MASS J23224684-3133231,56.0,0.022910112,0.14284057,307.96477299400283,7.48944950623903e-11,True
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.71476840857292,4.054365789312713e-11,True
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,1621.3847891693522,3.943074199887255e-10,False
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969,4.059805681621757e-10,False
249,WISE 0410+1502,20.0,0.005727528,0.12023271,108.66731278795253,2.6426995016079383e-11,False
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.082013105928027,5.126971864726625e-12,False
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.169284911753024,4.175428610054371e-12,False
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10,2.445640446018866e-10,False
